Class,"0.0","1.0","2.0","3.0","4.0","5.0","6.0","7.0","8.0","9.0","10.0","11.0","12.0","13.0","14.0","15.0","16.0","17.0","18.0","19.0","20.0","21.0","22.0","23.0","24.0","25.0","26.0","27.0","28.0","29.0","30.0","31.0","32.0","33.0","34.0","35.0","36.0","37.0","38.0","39.0","40.0","41.0","42.0","43.0","44.0","45.0","46.0","47.0","48.0","49.0","50.0","51.0","52.0","53.0","54.0","55.0","56.0","57.0","58.0","59.0"
ACC,0.99709,0.99679,0.99521,0.99685,0.99691,0.99945,0.99794,0.9997,0.99988,0.99757,0.99205,0.98878,0.99879,0.99951,0.99939,0.99733,0.99721,0.9986,0.99848,0.99757,0.99854,0.99806,0.99703,0.99806,0.99782,0.99945,1.0,0.99782,0.99023,0.99339,0.99484,0.99545,0.99739,0.99697,0.99879,0.99976,0.99842,0.9983,0.99782,0.99915,0.99594,0.99927,1.0,0.99666,0.99709,0.99909,0.998,0.99666,0.99612,0.9986,0.99982,0.99951,0.99873,0.99915,0.99951,0.99909,0.99854,0.99945,1.0,0.99976
AGF,0.96536,0.93,0.92304,0.94793,0.9499,0.99558,0.9547,0.9959,0.99926,0.95964,0.83834,0.79021,0.97395,0.99705,0.98848,0.94951,0.94899,0.97423,0.9736,0.96194,0.98207,0.96629,0.95659,0.98618,0.9563,0.98652,1.0,0.96975,0.86804,0.91089,0.90305,0.93804,0.96501,0.95167,0.99048,0.99741,0.97225,0.98197,0.97683,0.98929,0.9319,0.99227,1.0,0.94869,0.96206,0.99118,0.97327,0.93841,0.94161,0.97314,0.99779,0.99596,0.97874,0.98588,0.99593,0.9878,0.97758,0.98998,1.0,0.99853
AGM,0.9845,0.95941,0.95985,0.97236,0.97352,0.99871,0.97337,0.99801,0.99991,0.97844,0.91114,0.88859,0.98471,0.99963,0.99343,0.97179,0.9718,0.98559,0.98555,0.9802,0.99182,0.98161,0.97811,0.99679,0.97503,0.99168,1.0,0.9851,0.93615,0.95689,0.94661,0.96977,0.98304,0.97457,0.99734,0.99894,0.98471,0.9926,0.99047,0.995,0.96364,0.99684,1.0,0.97343,0.98191,0.9967,0.98707,0.96592,0.97016,0.98474,0.99899,0.99876,0.9885,0.99236,0.99876,0.99408,0.98833,0.99435,1.0,0.99982
AM,18,-31,-1,-4,-3,7,-22,1,2,-4,-41,-23,-12,8,-4,-14,-12,-7,-5,0,8,-6,5,28,-16,-9,0,6,39,25,-23,15,9,-2,16,2,-6,14,18,4,-7,6,0,1,12,9,7,-15,4,-9,1,6,-3,-2,6,3,0,-3,0,4
AUC,0.97161,0.9233,0.92554,0.94798,0.95017,0.99794,0.94891,0.99624,0.99994,0.95915,0.8411,0.80633,0.97036,0.99975,0.98723,0.94642,0.94656,0.97228,0.97232,0.96262,0.98485,0.96493,0.95902,0.99545,0.95225,0.98364,1.0,0.97208,0.88601,0.92157,0.90122,0.94426,0.9684,0.95216,0.99582,0.99809,0.97071,0.98667,0.98286,0.99066,0.93205,0.99429,1.0,0.95022,0.96647,0.9942,0.97583,0.93575,0.94441,0.97059,0.99813,0.99797,0.97798,0.98532,0.99796,0.98885,0.97781,0.98904,1.0,0.99988
AUCI,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Very Good,Very Good,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Very Good,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent
AUPR,0.91612,0.9011,0.85505,0.90411,0.90679,0.984,0.93723,0.99086,0.99636,0.92625,0.74551,0.64617,0.96276,0.98587,0.9818,0.91793,0.91464,0.95749,0.95404,0.92647,0.95688,0.94107,0.91147,0.94703,0.93317,0.98364,1.0,0.93536,0.72986,0.81197,0.84091,0.86833,0.92359,0.9091,0.96555,0.99277,0.9525,0.95111,0.93778,0.97487,0.87721,0.97861,1.0,0.90055,0.91531,0.97351,0.94111,0.8979,0.88452,0.9576,0.99458,0.98578,0.96178,0.97456,0.98568,0.973,0.95636,0.98364,1.0,0.99286
BB,0.88699,0.84727,0.85348,0.89744,0.90182,0.97163,0.89818,0.98905,0.99273,0.91941,0.68498,0.61765,0.94096,0.97173,0.97464,0.89377,0.89416,0.94505,0.94526,0.92647,0.94306,0.93066,0.90323,0.90132,0.90511,0.96727,1.0,0.92527,0.68153,0.77667,0.80435,0.84536,0.90877,0.9058,0.93836,0.98917,0.94203,0.92759,0.90816,0.96786,0.86594,0.96809,1.0,0.89892,0.89583,0.95789,0.92933,0.87273,0.87814,0.94161,0.99278,0.97518,0.95652,0.97101,0.975,0.96774,0.95636,0.97826,1.0,0.98571
BCD,0.00055,0.00094,3e-05,0.00012,9e-05,0.00021,0.00067,3e-05,6e-05,0.00012,0.00124,0.0007,0.00036,0.00024,0.00012,0.00042,0.00036,0.00021,0.00015,0.0,0.00024,0.00018,0.00015,0.00085,0.00049,0.00027,0.0,0.00018,0.00118,0.00076,0.0007,0.00045,0.00027,6e-05,0.00049,6e-05,0.00018,0.00042,0.00055,0.00012,0.00021,0.00018,0.0,3e-05,0.00036,0.00027,0.00021,0.00045,0.00012,0.00027,3e-05,0.00018,9e-05,6e-05,0.00018,9e-05,0.0,9e-05,0.0,0.00012
BM,0.94322,0.84659,0.85107,0.89596,0.90034,0.99587,0.89781,0.99249,0.99988,0.9183,0.68221,0.61265,0.94071,0.99951,0.97445,0.89285,0.89311,0.94456,0.94464,0.92524,0.96971,0.92986,0.91804,0.9909,0.90449,0.96727,1.0,0.94416,0.77201,0.84314,0.80244,0.88853,0.9368,0.90432,0.99164,0.99618,0.94141,0.97334,0.96573,0.98133,0.86409,0.98858,1.0,0.90045,0.93293,0.98839,0.95166,0.87149,0.88881,0.94117,0.99625,0.99595,0.95597,0.97064,0.99592,0.97771,0.95562,0.97808,1.0,0.99975
CEN,0.08679,0.10119,0.14318,0.10021,0.09994,0.01841,0.07174,0.01155,0.00429,0.06624,0.18177,0.2231,0.04228,0.01389,0.01765,0.06619,0.06618,0.04669,0.0489,0.07297,0.04785,0.05448,0.08172,0.05151,0.07438,0.0165,0,0.06476,0.2129,0.14021,0.12635,0.10001,0.07807,0.08989,0.03609,0.00906,0.05432,0.05867,0.06884,0.02804,0.11585,0.02343,0,0.0985,0.08435,0.03195,0.05832,0.08698,0.10876,0.04466,0.00718,0.01497,0.04277,0.02957,0.0165,0.03194,0.05025,0.01903,0,0.00901
