BM,0.93648,0.84277,0.88404,0.88093,0.91519,0.99569,0.93048,0.99237,0.99255,0.92234,0.68519,0.64256,0.95892,0.99599,0.98164,0.9437,0.86447,0.95555,0.94501,0.93608,0.98107,0.94421,0.9439,0.9804,0.91204,0.96727,0.99988,0.94034,0.76899,0.88012,0.82393,0.87422,0.93742,0.9368,0.98765,0.99624,0.95965,0.97334,0.9734,0.9852,0.86409,0.99926,1.0,0.88669,0.94786,0.98851,0.97009,0.88253,0.91525,0.96307,0.99625,0.99975,0.96721,0.98164,0.9961,0.97064,0.97393,0.98538,1.0,1.0
CEN,0.07696,0.10894,0.12765,0.11314,0.08256,0.02388,0.05215,0.0158,0.00861,0.05432,0.1995,0.20587,0.04054,0.01367,0.0173,0.0564,0.06767,0.03836,0.0382,0.06898,0.03213,0.05664,0.06677,0.04762,0.06555,0.0165,0.00426,0.07275,0.20705,0.11422,0.12215,0.10603,0.06227,0.07463,0.04661,0.0072,0.04133,0.0605,0.05537,0.01944,0.11622,0.02271,0,0.09279,0.06727,0.02876,0.04488,0.08233,0.07882,0.0346,0.00718,0.00744,0.02597,0.01858,0.01075,0.0303,0.03629,0.01337,0,0
DOR,10197.48284,6242.4186,3237.67577,4062.85833,9337.83982,403552.18182,31191.57895,439263.9,1098363.0,16202.0,638.17311,405.39269,47887.27273,740074.0,219604.85,12659.2,12974.94932,44060.0625,69968.85,10560.0,86853.44,16450.0549,12707.48182,36555.64167,28137.15278,None,None,10918.46875,615.40968,2152.22862,2195.31429,2740.12465,15420.97426,9483.97059,61375.70833,2220770.0,48793.125,29626.59864,31109.85,220401.6,3484.01712,None,None,7999.54637,13171.60248,147429.1,36171.06667,6831.84375,9857.21739,61119.77143,2228737.5,None,160279.11111,219604.85,1106264.25,90477.91667,62030.51429,551106.0,None,None
DP,2.21,2.09249,1.93529,1.98965,2.18891,3.09069,2.47769,3.111,3.33044,2.32086,1.54644,1.4378,2.58034,3.2359,2.945,2.26178,2.26767,2.5604,2.67114,2.21836,2.7229,2.32449,2.26269,2.51569,2.45302,None,None,2.22636,1.53775,1.83752,1.84226,1.89534,2.30903,2.19263,2.63976,3.49901,2.58483,2.46537,2.47706,2.94587,1.95285,None,None,2.15187,2.27128,2.84959,2.51316,2.11409,2.20187,2.63876,3.49987,None,2.8696,2.945,3.33215,2.73269,2.6423,3.16531,None,None
DPI,Fair,Fair,Limited,Limited,Fair,Good,Fair,Good,Good,Fair,Limited,Limited,Fair,Good,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Fair,None,None,Fair,Limited,Limited,Limited,Limited,Fair,Fair,Fair,Good,Fair,Fair,Fair,Fair,Limited,None,None,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Good,None,Fair,Fair,Good,Fair,Fair,Good,None,None
ERR,0.00249,0.00346,0.00425,0.00376,0.00255,0.00073,0.00158,0.00042,0.00024,0.002,0.00855,0.01025,0.00115,0.00042,0.00055,0.00224,0.00273,0.00121,0.00115,0.00243,0.00091,0.00194,0.00224,0.00176,0.00182,0.00055,0.00012,0.00243,0.00922,0.0054,0.00503,0.00461,0.002,0.00261,0.00164,0.00018,0.00115,0.0017,0.00164,0.00055,0.00406,0.00073,0.0,0.00285,0.00224,0.00079,0.0014,0.00303,0.00249,0.00103,0.00018,0.00024,0.00073,0.00055,0.0003,0.00085,0.00103,0.00036,0.0,0.0
F0.5,0.91917,0.92137,0.86614,0.88799,0.92715,0.9682,0.96458,0.98402,0.99267,0.94808,0.7526,0.69401,0.96798,0.98208,0.98474,0.92606,0.94498,0.96738,0.97662,0.92124,0.96751,0.93977,0.92632,0.93063,0.96302,0.99328,0.99424,0.9204,0.71621,0.82373,0.85843,0.85694,0.94113,0.91455,0.93238,0.99347,0.96857,0.93663,0.93925,0.98266,0.88388,0.96639,1.0,0.92803,0.92514,0.96946,0.9517,0.92115,0.92989,0.97202,0.9935,0.98854,0.98451,0.98474,0.9877,0.97668,0.96611,0.99125,1.0,1.0
F1,0.92613,0.8906,0.87365,0.88603,0.92308,0.97857,0.95167,0.98725,0.99267,0.93855,0.72727,0.67562,0.96475,0.98739,0.98367,0.93309,0.91329,0.9631,0.96462,0.92727,0.97278,0.94182,0.93333,0.94921,0.9434,0.98336,0.99639,0.92832,0.73702,0.84522,0.84601,0.86429,0.94011,0.92335,0.95288,0.99456,0.96539,0.95053,0.95221,0.98373,0.87706,0.97872,1.0,0.91248,0.93405,0.97674,0.95886,0.90672,0.92477,0.96881,0.99458,0.99281,0.97802,0.98367,0.99093,0.97455,0.96926,0.98909,1.0,1.0
F2,0.93319,0.86181,0.88128,0.88408,0.91904,0.98917,0.9391,0.9905,0.99267,0.9292,0.70359,0.65819,0.96154,0.99275,0.9826,0.94023,0.88367,0.95885,0.95291,0.93338,0.9781,0.94388,0.94045,0.96855,0.92456,0.97365,0.99855,0.93637,0.75909,0.86786,0.83394,0.87176,0.93909,0.93233,0.9743,0.99564,0.96224,0.96485,0.96554,0.98479,0.87036,0.99138,1.0,0.89744,0.94312,0.98414,0.96611,0.89273,0.91971,0.96562,0.99566,0.99711,0.97162,0.9826,0.99417,0.97242,0.97242,0.98694,1.0,1.0
FDR,0.08541,0.05691,0.13879,0.1107,0.07011,0.0386,0.02662,0.01812,0.00733,0.04545,0.22951,0.29317,0.02985,0.02143,0.01455,0.07857,0.03265,0.02974,0.01521,0.08273,0.03597,0.06159,0.07829,0.08136,0.02344,0.0,0.00719,0.08481,0.29703,0.19,0.13308,0.14789,0.05818,0.09123,0.08081,0.00725,0.0293,0.07241,0.0692,0.01805,0.11152,0.04167,0.0,0.0613,0.0807,0.03534,0.053,0.06897,0.06667,0.02583,0.00722,0.01429,0.01111,0.01455,0.01444,0.0219,0.03597,0.0073,0.0,0.0
